Name,Set,Rarity,Price
The Great Henge,ELD,Mythic,18.65
Brazen Borrower,ELD,Mythic,15
"Oko, Thief of Crowns",ELD,Mythic,13.15
Questing Beast,ELD,Mythic,12
Fabled Passage,ELD,Rare,11.99
Embercleave,ELD,Mythic,10.91
Robber of the Rich,ELD,Mythic,5.91
"Rankle, Master of Pranks",ELD,Mythic,5.71
The Royal Scions,ELD,Mythic,5.4
"Garruk, Cursed Huntsman",ELD,Mythic,3.07
Murderous Rider,ELD,Rare,3.06
Stonecoil Serpent,ELD,Rare,3
Once Upon a Time,ELD,Rare,2.95
Gilded Goose,ELD,Rare,2.75
Castle Garenbrig,ELD,Rare,2.7
Castle Ardenvale,ELD,Rare,2.32
Castle Locthwain,ELD,Rare,2.27
"Emry, Lurker of the Loch",ELD,Rare,2.19
The Magic Mirror,ELD,Mythic,2.09
"Ayara, First of Locthwain",ELD,Rare,1.99
Mirrormade,ELD,Rare,1.5
Mystical Dispute,ELD,Uncommon,1.48
Faeburrow Elder,ELD,Rare,1.48
"Torbran, Thane of Red Fell",ELD,Rare,1.47
The Circle of Loyalty,ELD,Mythic,1.27
Castle Vantress,ELD,Rare,1.25
Bonecrusher Giant,ELD,Rare,1.2
Hushbringer,ELD,Rare,1.19
The Cauldron of Eternity,ELD,Mythic,1.14
Realm-Cloaked Giant,ELD,Mythic,1.05
Return of the Wildspeaker,ELD,Rare,1
Drown in the Loch,ELD,Uncommon,1
Charming Prince,ELD,Rare,0.99
Outlaws' Merriment,ELD,Mythic,0.99
"Gadwick, the Wizened",ELD,Rare,0.99
Castle Embereth,ELD,Rare,0.97
Fires of Invention,ELD,Rare,0.91
Fervent Champion,ELD,Rare,0.89
Cauldron Familiar,ELD,Uncommon,0.8
Harmonious Archon,ELD,Mythic,0.72
Wishclaw Talisman,ELD,Rare,0.7
Fae of Wishes,ELD,Rare,0.64
All That Glitters,ELD,Uncommon,0.63
Dance of the Manse,ELD,Rare,0.6
Wicked Wolf,ELD,Rare,0.59
"Yorvo, Lord of Garenbrig",ELD,Rare,0.59
Lovestruck Beast,ELD,Rare,0.55
Vantress Gargoyle,ELD,Rare,0.52
"Linden, the Steadfast Queen",ELD,Rare,0.5
Doom Foretold,ELD,Rare,0.5
Worthy Knight,ELD,Rare,0.5
Stormfist Crusader,ELD,Rare,0.5
Irencrag Pyromancer,ELD,Rare,0.49
Mystic Sanctuary,ELD,Common,0.49
Sorcerous Spyglass,ELD,Rare,0.49
Midnight Clock,ELD,Rare,0.48
Clackbridge Troll,ELD,Rare,0.48
Wildborn Preserver,ELD,Rare,0.46
Feasting Troll King,ELD,Rare,0.46
Witch's Oven,ELD,Uncommon,0.45
Blacklance Paragon,ELD,Rare,0.44
Irencrag Feat,ELD,Rare,0.43
Folio of Fancies,ELD,Rare,0.43
Giant Killer,ELD,Rare,0.42
Piper of the Swarm,ELD,Rare,0.42
Deafening Silence,ELD,Uncommon,0.41
Acclaimed Contender,ELD,Rare,0.41
Stolen by the Fae,ELD,Rare,0.39
Swamp (258),ELD,Common,0.39
Witch's Vengeance,ELD,Rare,0.38
