Name,Set,Rarity,Price
Fiend Artisan,IKO,Mythic,34.48
Luminous Broodmoth,IKO,Mythic,23.99
Lurrus of the Dream Den,IKO,Rare,22.58
"Kinnan, Bonder Prodigy",IKO,Mythic,19.99
"Rielle, the Everwise",IKO,Mythic,18.94
"Vivien, Monsters' Advocate",IKO,Mythic,15.1
Narset of the Ancient Way,IKO,Mythic,14.49
General Kudro of Drannith,IKO,Mythic,12.49
"Winota, Joiner of Forces",IKO,Mythic,11.49
Raugrin Triome,IKO,Rare,11.29
Ketria Triome,IKO,Rare,10.99
Indatha Triome,IKO,Rare,10.16
Savai Triome,IKO,Rare,10.15
"Lukka, Coppercoat Outcast",IKO,Mythic,10.11
Zagoth Triome,IKO,Rare,9.99
"Gyruda, Doom of Depths",IKO,Rare,9.99
"Nethroi, Apex of Death",IKO,Mythic,9.91
"Illuna, Apex of Wishes",IKO,Mythic,9.58
The Ozolith,IKO,Rare,9.49
"Vadrok, Apex of Thunder",IKO,Mythic,8.33
Sea-Dasher Octopus,IKO,Rare,7.57
"Snapdax, Apex of the Hunt",IKO,Mythic,7.07
"Chevill, Bane of Monsters",IKO,Mythic,6.99
Drannith Magistrate,IKO,Rare,6.56
"Brokkos, Apex of Forever",IKO,Mythic,6.06
Shark Typhoon,IKO,Rare,6.01
"Zirda, the Dawnwaker",IKO,Rare,5.29
"Yorion, Sky Nomad",IKO,Rare,5.05
"Yidaro, Wandering Monster",IKO,Rare,5
Song of Creation,IKO,Rare,3.84
Eerie Ultimatum,IKO,Rare,2.69
Ruinous Ultimatum,IKO,Rare,2.69
Mythos of Nethroi,IKO,Rare,2.31
"Kaheera, the Orphanguard",IKO,Rare,2
"Jegantha, the Wellspring",IKO,Rare,2
Bonders' Enclave,IKO,Rare,2
Heartless Act,IKO,Uncommon,1.99
Gemrazer,IKO,Rare,1.99
Emergent Ultimatum,IKO,Rare,1.97
"Obosh, the Preypiercer",IKO,Rare,1.84
Slitherwisp,IKO,Rare,1.82
Sprite Dragon,IKO,Uncommon,1.81
Whirlwind of Thought,IKO,Rare,1.72
"Umori, the Collector",IKO,Rare,1.69
Genesis Ultimatum,IKO,Rare,1.49
Everquill Phoenix,IKO,Rare,1.31
Titans' Nest,IKO,Rare,1.15
"Keruga, the Macrosage",IKO,Rare,1.1
Migration Path,IKO,Uncommon,1
"Lutri, the Spellchaser",IKO,Rare,1
"Kogla, the Titan Ape",IKO,Rare,1
Voracious Greatshark,IKO,Rare,1
Hunted Nightmare,IKO,Rare,0.99
Forest (272),IKO,Common,0.99
Swamp (266),IKO,Common,0.99
Extinction Event,IKO,Rare,0.99
Crystalline Giant,IKO,Rare,0.99
Dirge Bat,IKO,Rare,0.99
Inspired Ultimatum,IKO,Rare,0.99
Parcelbeast,IKO,Uncommon,0.99
Unpredictable Cyclone,IKO,Rare,0.92
Labyrinth Raptor,IKO,Rare,0.92
Skycat Sovereign,IKO,Rare,0.89
Quartzwood Crasher,IKO,Rare,0.87
Lavabrink Venturer,IKO,Rare,0.86
Mythos of Snapdax,IKO,Rare,0.85
Colossification,IKO,Rare,0.82
Mythos of Illuna,IKO,Rare,0.79
Cubwarden,IKO,Rare,0.76
Death's Oasis,IKO,Rare,0.74
Mythos of Vadrok,IKO,Rare,0.68
Bastion of Remembrance,IKO,Uncommon,0.65
Offspring's Revenge,IKO,Rare,0.59
Mythos of Brokkos,IKO,Rare,0.59
Plains (260),IKO,Common,0.58
Plains (261),IKO,Common,0.58
Plains (262),IKO,Common,0.58
Swamp (267),IKO,Common,0.58
Swamp (268),IKO,Common,0.58
Mountain (270),IKO,Common,0.58
Mountain (271),IKO,Common,0.58
Forest (273),IKO,Common,0.58
Forest (274),IKO,Common,0.58
Mountain (269),IKO,Common,0.58
Call of the Death-Dweller,IKO,Uncommon,0.55
Regal Leosaur,IKO,Uncommon,0.5
Mystic Subdual,IKO,Uncommon,0.5
Frillscare Mentor,IKO,Uncommon,0.5
Ominous Seas,IKO,Uncommon,0.5
Frondland Felidar,IKO,Rare,0.5
Cunning Nightbonder,IKO,Uncommon,0.5
Reconnaissance Mission,IKO,Uncommon,0.5
Dire Tactics,IKO,Uncommon,0.5
Neutralize,IKO,Uncommon,0.5
Insatiable Hemophage,IKO,Uncommon,0.5
Footfall Crater,IKO,Uncommon,0.49
Island (263),IKO,Common,0.49
Island (264),IKO,Common,0.49
Island (265),IKO,Common,0.49
Reptilian Reflection,IKO,Uncommon,0.49
Porcuparrot,IKO,Uncommon,0.48
Flourishing Fox,IKO,Uncommon,0.48
Avian Oddity,IKO,Uncommon,0.47
Necropanther,IKO,Uncommon,0.47
Flame Spill,IKO,Uncommon,0.45
Easy Prey,IKO,Uncommon,0.45
Zenith Flare,IKO,Uncommon,0.44
Boneyard Lurker,IKO,Uncommon,0.43
Wingspan Mentor,IKO,Uncommon,0.42
Duskfang Mentor,IKO,Uncommon,0.42
Primal Empathy,IKO,Uncommon,0.42
Barrier Breach,IKO,Uncommon,0.42
Momentum Rumbler,IKO,Uncommon,0.42
Lead the Stampede,IKO,Uncommon,0.41
Majestic Auricorn,IKO,Uncommon,0.41
Jubilant Skybonder,IKO,Uncommon,0.41
Channeled Force,IKO,Uncommon,0.41
Pouncing Shoreshark,IKO,Uncommon,0.4
Lore Drakkis,IKO,Uncommon,0.4
Alert Heedbonder,IKO,Uncommon,0.4
Ketria Crystal,IKO,Uncommon,0.4
Savai Crystal,IKO,Uncommon,0.4
Zagoth Crystal,IKO,Uncommon,0.4
Raugrin Crystal,IKO,Uncommon,0.4
Will of the All-Hunter,IKO,Uncommon,0.4
Escape Protocol,IKO,Uncommon,0.4
Unbreakable Bond,IKO,Uncommon,0.4
Rooting Moloch,IKO,Uncommon,0.4
Charge of the Forever-Beast,IKO,Uncommon,0.4
Boon of the Wish-Giver,IKO,Uncommon,0.4
Sonorous Howlbonder,IKO,Uncommon,0.4
Blitz of the Thunder-Raptor,IKO,Uncommon,0.4
Chittering Harvester,IKO,Uncommon,0.4
Skull Prophet,IKO,Uncommon,0.4
Stormwild Capridor,IKO,Uncommon,0.39
Auspicious Starrix,IKO,Uncommon,0.39
Archipelagore,IKO,Uncommon,0.39
Glowstone Recluse,IKO,Uncommon,0.39
Of One Mind,IKO,Common,0.39
Back for More,IKO,Uncommon,0.39
Clash of Titans,IKO,Uncommon,0.39
Exuberant Wolfbear,IKO,Uncommon,0.39
General's Enforcer,IKO,Uncommon,0.39
Valiant Rescuer,IKO,Uncommon,0.39
Fight as One,IKO,Uncommon,0.39
Proud Wildbonder,IKO,Uncommon,0.38
Huntmaster Liger,IKO,Uncommon,0.38
Pollywog Symbiote,IKO,Uncommon,0.38
Indatha Crystal,IKO,Uncommon,0.38
Trumpeting Gnarr,IKO,Uncommon,0.37
Titanoth Rex,IKO,Uncommon,0.37
Grimdancer,IKO,Uncommon,0.36
Savai Thundermane,IKO,Uncommon,0.36
Ivy Elemental,IKO,Uncommon,0.35
Keensight Mentor,IKO,Uncommon,0.35
Sanctuary Smasher,IKO,Uncommon,0.35
Mysterious Egg,IKO,Common,0.35
Swallow Whole,IKO,Uncommon,0.35
Splendor Mare,IKO,Uncommon,0.35
Void Beckoner,IKO,Uncommon,0.35
Weaponize the Monsters,IKO,Uncommon,0.35
Monstrous Step,IKO,Uncommon,0.35
Sanctuary Lockdown,IKO,Uncommon,0.35
Hornbash Mentor,IKO,Uncommon,0.35
Zagoth Mamba,IKO,Uncommon,0.34
Drannith Stinger,IKO,Common,0.31
Bushmeat Poacher,IKO,Common,0.26
Fertilid,IKO,Common,0.26
Whisper Squad,IKO,Common,0.26
Fire Prophecy,IKO,Common,0.26
Keep Safe,IKO,Common,0.26
Farfinder,IKO,Common,0.26
Heightened Reflexes,IKO,Common,0.25
Memory Leak,IKO,Common,0.25
Glimmerbell,IKO,Common,0.25
Thieving Otter,IKO,Common,0.25
Ferocious Tigorilla,IKO,Common,0.25
