Name,Set,Rarity,Price
"Uro, Titan of Nature's Wrath",THB,Mythic,44.99
"Kroxa, Titan of Death's Hunger",THB,Mythic,19.99
"Heliod, Sun-Crowned",THB,Mythic,14.16
Nyxbloom Ancient,THB,Mythic,13.59
"Thassa, Deep-Dwelling",THB,Mythic,11.58
Dryad of the Ilysian Grove,THB,Rare,8
"Ashiok, Nightmare Muse",THB,Mythic,6.77
"Klothys, God of Destiny",THB,Mythic,6.34
Shadowspear,THB,Rare,5.5
Thassa's Oracle,THB,Rare,4.63
Nyx Lotus,THB,Rare,4.29
"Elspeth, Sun's Nemesis",THB,Mythic,3.99
"Nylea, Keen-Eyed",THB,Mythic,3.81
Idyllic Tutor,THB,Rare,3.51
Ox of Agonas,THB,Mythic,3.46
"Calix, Destiny's Hand",THB,Mythic,3.11
"Purphoros, Bronze-Blooded",THB,Mythic,2.99
"Erebos, Bleak-Hearted",THB,Mythic,2.95
Underworld Breach,THB,Rare,2.77
"Polukranos, Unchained",THB,Mythic,2.59
Kiora Bests the Sea God,THB,Mythic,2.04
Heliod's Intervention,THB,Rare,1.9
Dream Trawler,THB,Rare,1.83
Setessan Champion,THB,Rare,1.79
Elspeth Conquers Death,THB,Rare,1.64
Temple of Deceit,THB,Rare,1.5
Nightmare Shepherd,THB,Rare,1.45
Temple of Enlightenment,THB,Rare,1.44
"Ashiok, Sculptor of Fears",THB,Mythic,1.34
Shatter the Sky,THB,Rare,1.22
Archon of Sun's Grace,THB,Rare,1.04
Temple of Malice,THB,Rare,1.02
Temple of Plenty,THB,Rare,1.01
Woe Strider,THB,Rare,1
"Elspeth, Undaunted Hero",THB,Mythic,1
Nadir Kraken,THB,Rare,0.99
Temple of Abandon,THB,Rare,0.9
Island (251),THB,Common,0.86
Swamp (252),THB,Common,0.79
Thassa's Intervention,THB,Rare,0.78
Forest (254),THB,Common,0.78
Storm Herald,THB,Rare,0.76
"Kunoros, Hound of Athreos",THB,Rare,0.74
Phoenix of Ash,THB,Rare,0.68
Nylea's Intervention,THB,Rare,0.67
Mountain (253),THB,Common,0.6
Storm's Wrath,THB,Rare,0.58
Eat to Extinction,THB,Rare,0.56
Destiny Spinner,THB,Uncommon,0.55
Labyrinth of Skophos,THB,Rare,0.5
Hydra's Growth,THB,Uncommon,0.5
Erebos's Intervention,THB,Rare,0.5
Field of Ruin,THB,Uncommon,0.5
Plains (250),THB,Common,0.5
Agonizing Remorse,THB,Uncommon,0.5
Bronzehide Lion,THB,Rare,0.5
Arasta of the Endless Web,THB,Rare,0.49
Tectonic Giant,THB,Rare,0.49
Treacherous Blessing,THB,Rare,0.49
Eidolon of Obstruction,THB,Rare,0.47
"Atris, Oracle of Half-Truths",THB,Rare,0.45
Enigmatic Incarnation,THB,Rare,0.45
Soul-Guide Lantern,THB,Uncommon,0.42
"Thryx, the Sudden Storm",THB,Rare,0.41
Ashiok's Erasure,THB,Rare,0.41
Gray Merchant of Asphodel,THB,Uncommon,0.4
Tymaret Calls the Dead,THB,Rare,0.39
Haktos the Unscarred,THB,Rare,0.39
Gallia of the Endless Dance,THB,Rare,0.39
"Aphemia, the Cacophony",THB,Rare,0.39
Gravebreaker Lamia,THB,Rare,0.37
Alseid of Life's Bounty,THB,Uncommon,0.37
The Birth of Meletis,THB,Uncommon,0.36
Wavebreak Hippocamp,THB,Rare,0.34
"Daxos, Blessed by the Sun",THB,Uncommon,0.33
The First Iroan Games,THB,Rare,0.33
The Akroan War,THB,Rare,0.33
"Dalakos, Crafter of Wonders",THB,Rare,0.33
Protean Thaumaturge,THB,Rare,0.33
Whirlwind Denial,THB,Uncommon,0.32
Purphoros's Intervention,THB,Rare,0.32
"Anax, Hardened in the Forge",THB,Uncommon,0.32
Staggering Insight,THB,Uncommon,0.31
Drag to the Underworld,THB,Uncommon,0.31
Mantle of the Wolf,THB,Rare,0.3
"Taranika, Akroan Veteran",THB,Rare,0.3
Nessian Boar,THB,Rare,0.29
Allure of the Unknown,THB,Rare,0.29
Underworld Dreams,THB,Uncommon,0.28
Mystic Repeal,THB,Uncommon,0.25
Wolfwillow Haven,THB,Uncommon,0.25
"Tymaret, Chosen from Death",THB,Uncommon,0.25
Hateful Eidolon,THB,Uncommon,0.25
"Siona, Captain of the Pyleas",THB,Uncommon,0.25
Medomai's Prophecy,THB,Uncommon,0.25
Banishing Light,THB,Uncommon,0.25
Omen of the Sea,THB,Common,0.25
"Callaphe, Beloved of the Sea",THB,Uncommon,0.25
"Renata, Called to the Hunt",THB,Uncommon,0.25
Mire Triton,THB,Uncommon,0.25
Shoal Kraken,THB,Uncommon,0.24
Fateful End,THB,Uncommon,0.24
Enemy of Enlightenment,THB,Uncommon,0.24
Pheres-Band Brawler,THB,Uncommon,0.24
Heroes of the Revel,THB,Uncommon,0.24
Shimmerwing Chimera,THB,Uncommon,0.24
Rise to Glory,THB,Uncommon,0.24
Mirror Shield,THB,Uncommon,0.24
Entrancing Lyre,THB,Uncommon,0.24
Elspeth's Nightmare,THB,Uncommon,0.24
Impending Doom,THB,Uncommon,0.24
Cling to Dust,THB,Uncommon,0.24
Sage of Mysteries,THB,Uncommon,0.24
Sea God's Scorn,THB,Uncommon,0.23
Stinging Lionfish,THB,Uncommon,0.23
Dawn Evangel,THB,Uncommon,0.23
One with the Stars,THB,Uncommon,0.23
Favored of Iroas,THB,Uncommon,0.23
Heliod's Punishment,THB,Uncommon,0.22
Dreamstalker Manticore,THB,Uncommon,0.22
Threnody Singer,THB,Uncommon,0.22
"Alirios, Enraptured",THB,Uncommon,0.22
Chainweb Aracnir,THB,Uncommon,0.22
Dreamshaper Shaman,THB,Uncommon,0.22
The Triumph of Anax,THB,Uncommon,0.22
Sweet Oblivion,THB,Uncommon,0.22
Eutropia the Twice-Favored,THB,Uncommon,0.22
Commanding Presence,THB,Uncommon,0.21
Reverent Hoplite,THB,Uncommon,0.21
Nessian Wanderer,THB,Uncommon,0.21
Acolyte of Affliction,THB,Uncommon,0.21
Underworld Fires,THB,Uncommon,0.21
Escape Velocity,THB,Uncommon,0.21
Devourer of Memory,THB,Uncommon,0.2
Careless Celebrant,THB,Uncommon,0.2
Mischievous Chimera,THB,Uncommon,0.2
Klothys's Design,THB,Uncommon,0.2
Hero of the Winds,THB,Uncommon,0.2
Inevitable End,THB,Uncommon,0.2
Skophos Maze-Warden,THB,Uncommon,0.2
Pharika's Spawn,THB,Uncommon,0.2
Furious Rise,THB,Uncommon,0.2
Minion's Return,THB,Uncommon,0.2
Archon of Falling Stars,THB,Uncommon,0.2
Phalanx Tactics,THB,Uncommon,0.2
Thundering Chariot,THB,Uncommon,0.2
Hero of the Nyxborn,THB,Uncommon,0.2
Warden of the Chained,THB,Uncommon,0.2
The Binding of the Titans,THB,Uncommon,0.2
Blood Aspirant,THB,Uncommon,0.2
Setessan Petitioner,THB,Uncommon,0.2
Nyx Herald,THB,Uncommon,0.2
Nessian Hornbeetle,THB,Uncommon,0.2
Glimpse of Freedom,THB,Uncommon,0.2
Slaughter-Priest of Mogis,THB,Uncommon,0.2
Lagonna-Band Storyteller,THB,Uncommon,0.2
Sleep of the Dead,THB,Common,0.18
Pharika's Libation,THB,Common,0.18
Scavenging Harpy,THB,Common,0.18
Infuriate,THB,Common,0.18
Thirst for Meaning,THB,Common,0.18
Stampede Rider,THB,Common,0.18
Thrill of Possibility,THB,Common,0.18
Sentinel's Eyes,THB,Common,0.18
Pious Wayfarer,THB,Common,0.17
Memory Drain,THB,Common,0.17
Chain to Memory,THB,Common,0.17
Riptide Turtle,THB,Common,0.17
Ilysian Caryatid,THB,Common,0.17
Skola Grovedancer,THB,Common,0.17
Final Death,THB,Common,0.17
Altar of the Pantheon,THB,Common,0.17
Captivating Unicorn,THB,Common,0.17
Revoke Existence,THB,Common,0.17
Irreverent Revelers,THB,Common,0.17
Karametra's Blessing,THB,Common,0.17
Moss Viper,THB,Common,0.17
Stern Dismissal,THB,Common,0.17
Satyr's Cunning,THB,Common,0.17
Voracious Typhon,THB,Common,0.17
Lampad of Death's Vigil,THB,Common,0.17
Gift of Strength,THB,Common,0.17
Bronze Sword,THB,Common,0.17
Vexing Gull,THB,Common,0.16
Sunmane Pegasus,THB,Common,0.16
Transcendent Envoy,THB,Common,0.16
Deny the Divine,THB,Common,0.16
Final Flare,THB,Common,0.16
Nylea's Forerunner,THB,Common,0.16
Nyxborn Brute,THB,Common,0.16
Heliod's Pilgrim,THB,Common,0.16
Omen of the Hunt,THB,Common,0.16
Omen of the Dead,THB,Common,0.16
Thaumaturge's Familiar,THB,Common,0.16
Warbriar Blessing,THB,Common,0.16
Omen of the Forge,THB,Common,0.16
Unknown Shores,THB,Common,0.16
Return to Nature,THB,Common,0.16
Relentless Pursuit,THB,Common,0.16
Naiad of Hidden Coves,THB,Common,0.16
Oread of Mountain's Blaze,THB,Common,0.16
Omen of the Sun,THB,Common,0.16
Discordant Piper,THB,Common,0.16
Aspect of Lamprey,THB,Common,0.16
Nyxborn Courser,THB,Common,0.16
Flicker of Fate,THB,Common,0.16
Fruit of Tizerus,THB,Common,0.16
Funeral Rites,THB,Common,0.16
Underworld Rage-Hound,THB,Common,0.16
Triumphant Surge,THB,Common,0.16
Nexus Wardens,THB,Common,0.16
Nylea's Huntmaster,THB,Common,0.16
Nyxborn Marauder,THB,Common,0.16
Nyxborn Seaguard,THB,Common,0.16
Portent of Betrayal,THB,Common,0.16
Rage-Scarred Berserker,THB,Common,0.16
Soulreaper of Mogis,THB,Common,0.16
Brine Giant,THB,Common,0.16
Setessan Skirmisher,THB,Common,0.16
Setessan Training,THB,Common,0.16
Plummet,THB,Common,0.16
Wrap in Flames,THB,Common,0.16
Eidolon of Philosophy,THB,Common,0.16
Hero of the Pride,THB,Common,0.16
Blight-Breath Catoblepas,THB,Common,0.16
Aspect of Manticore,THB,Common,0.16
Traveler's Amulet,THB,Common,0.16
Towering-Wave Mystic,THB,Common,0.16
Loathsome Chimera,THB,Common,0.15
Mire's Grasp,THB,Common,0.15
